装置,部品,症状,Error,条件,工程,原因,対策,備考,発生日
装置A,Sensor,誤動作,E310,通常,梱包,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2026-06-25
装置A,Motor,漏れ,E310,低温,組立,潤滑不足,給油・グリスアップ実施,装置AのMotorで漏れを確認。低温環境下で発生。,2026-07-02
装置D,Bearing,異音,E103,高温,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのBearingで異音を確認。高温環境下で発生。,2026-07-25
装置B,Motor,振動,E102,高温,組立,潤滑不足,給油・グリスアップ実施,装置BのMotorで振動を確認。高温環境下で発生。,2025-11-08
装置C,Motor,漏れ,E310,低温,組立,潤滑不足,給油・グリスアップ実施,装置CのMotorで漏れを確認。低温環境下で発生。,2026-03-27
装置D,Belt,誤動作,E310,高温,検査,異物混入,フィルター清掃・防塵カバー追加,装置DのBeltで誤動作を確認。高温環境下で発生。,2025-07-31
装置C,Valve,漏れ,E101,夜間,搬送,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。夜間環境下で発生。,2025-10-28
装置B,Bearing,異音,E101,夜間,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBearingで異音を確認。夜間環境下で発生。,2025-10-12
装置A,Motor,振動,E102,高温,梱包,潤滑不足,給油・グリスアップ実施,装置AのMotorで振動を確認。高温環境下で発生。,2026-04-01
装置B,Belt,振動,E205,通常,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBeltで振動を確認。通常環境下で発生。,2025-11-14
装置C,Bearing,異音,E103,高温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。高温環境下で発生。,2025-11-28
装置A,Valve,漏れ,E101,高温,検査,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。高温環境下で発生。,2026-04-27
装置C,Belt,異音,E102,高温,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBeltで異音を確認。高温環境下で発生。,2025-11-24
装置A,Bearing,異音,E103,低温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで異音を確認。低温環境下で発生。,2026-06-04
装置B,Valve,漏れ,E101,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。高温環境下で発生。,2025-08-03
装置A,Motor,漏れ,E310,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのMotorで漏れを確認。通常環境下で発生。,2025-08-02
装置C,Valve,漏れ,E310,高温,組立,配線不良,配線点検・コネクタ交換,装置CのValveで漏れを確認。高温環境下で発生。,2026-02-18
装置A,Valve,漏れ,E310,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。高温環境下で発生。,2025-12-03
装置A,Sensor,誤動作,E103,通常,梱包,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2026-01-28
装置A,Sensor,誤動作,E103,低温,検査,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。低温環境下で発生。,2025-09-11
装置B,Valve,漏れ,E101,夜間,組立,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。夜間環境下で発生。,2025-10-20
装置A,Bearing,振動,E103,低温,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。低温環境下で発生。,2026-06-03
装置A,Sensor,誤動作,E103,高温,検査,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。高温環境下で発生。,2025-10-08
装置D,Motor,異音,E102,通常,組立,配線不良,配線点検・コネクタ交換,装置DのMotorで異音を確認。通常環境下で発生。,2026-03-27
装置B,Sensor,誤動作,E310,通常,組立,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。通常環境下で発生。,2026-03-01
装置C,Valve,漏れ,E310,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。高温環境下で発生。,2025-09-28
装置A,Bearing,異音,E103,通常,検査,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで異音を確認。通常環境下で発生。,2026-03-06
装置A,Bearing,異音,E103,高温,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。高温環境下で発生。,2026-02-03
装置D,Bearing,異音,E103,通常,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置DのBearingで異音を確認。通常環境下で発生。,2025-08-16
装置C,Sensor,誤動作,E310,通常,検査,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。通常環境下で発生。,2026-03-14
装置A,Bearing,振動,E103,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。通常環境下で発生。,2026-04-12
装置D,Bearing,異音,E103,夜間,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置DのBearingで異音を確認。夜間環境下で発生。,2026-05-25
装置B,Sensor,誤動作,E103,通常,梱包,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。通常環境下で発生。,2025-12-17
装置B,Motor,発熱,E101,高温,梱包,潤滑不足,給油・グリスアップ実施,装置BのMotorで発熱を確認。高温環境下で発生。,2026-06-21
装置C,Belt,発熱,E310,低温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置CのBeltで発熱を確認。低温環境下で発生。,2026-06-13
装置D,Sensor,誤動作,E103,高温,組立,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高温環境下で発生。,2025-07-30
装置A,Motor,異音,E103,通常,梱包,センサ故障,センサ交換・配線点検,装置AのMotorで異音を確認。通常環境下で発生。,2026-06-07
装置C,Belt,漏れ,E101,通常,組立,センサ故障,センサ交換・配線点検,装置CのBeltで漏れを確認。通常環境下で発生。,2026-02-01
装置B,Sensor,発熱,E205,高湿度,搬送,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-28
装置C,Belt,漏れ,E102,通常,検査,センサ故障,センサ交換・配線点検,装置CのBeltで漏れを確認。通常環境下で発生。,2026-06-16
装置C,Belt,発熱,E103,通常,検査,センサ故障,センサ交換・配線点検,装置CのBeltで発熱を確認。通常環境下で発生。,2026-05-04
装置A,Sensor,誤動作,E310,通常,搬送,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2025-10-11
装置C,Sensor,誤動作,E310,高温,搬送,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。高温環境下で発生。,2025-09-04
装置A,Motor,異音,E310,通常,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置AのMotorで異音を確認。通常環境下で発生。,2026-07-26
装置B,Sensor,誤動作,E310,通常,組立,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。通常環境下で発生。,2025-08-04
装置C,Valve,漏れ,E310,通常,梱包,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。通常環境下で発生。,2025-11-16
装置D,Valve,漏れ,E310,高温,検査,配線不良,配線点検・コネクタ交換,装置DのValveで漏れを確認。高温環境下で発生。,2026-06-02
装置D,Sensor,誤動作,E103,高温,検査,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高温環境下で発生。,2025-09-25
装置C,Motor,振動,E102,高温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置CのMotorで振動を確認。高温環境下で発生。,2025-11-03
装置D,Valve,漏れ,E101,通常,搬送,配線不良,配線点検・コネクタ交換,装置DのValveで漏れを確認。通常環境下で発生。,2026-04-28
装置B,Belt,漏れ,E101,低温,組立,センサ故障,センサ交換・配線点検,装置BのBeltで漏れを確認。低温環境下で発生。,2026-01-06
装置B,Sensor,誤動作,E310,高湿度,検査,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。高湿度環境下で発生。,2026-06-03
装置D,Motor,発熱,E102,高温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置DのMotorで発熱を確認。高温環境下で発生。,2025-10-19
装置B,Valve,漏れ,E101,通常,組立,配線不良,配線点検・コネクタ交換,装置BのValveで漏れを確認。通常環境下で発生。,2025-11-26
装置A,Bearing,異音,E101,低温,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。低温環境下で発生。,2026-05-05
装置A,Motor,発熱,E102,高温,組立,潤滑不足,給油・グリスアップ実施,装置AのMotorで発熱を確認。高温環境下で発生。,2025-10-02
装置B,Bearing,振動,E101,低温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで振動を確認。低温環境下で発生。,2026-04-02
装置D,Sensor,誤動作,E103,高湿度,検査,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高湿度環境下で発生。,2025-08-24
装置C,Bearing,異音,E101,低温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。低温環境下で発生。,2026-03-17
装置B,Sensor,誤動作,E205,高湿度,搬送,異物混入,フィルター清掃・防塵カバー追加,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-07-07
装置A,Valve,漏れ,E101,低温,検査,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。低温環境下で発生。,2026-07-20
装置B,Sensor,誤動作,E205,高湿度,検査,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-07-27
装置A,Motor,発熱,E102,高温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置AのMotorで発熱を確認。高温環境下で発生。,2026-05-04
装置B,Bearing,異音,E101,通常,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。通常環境下で発生。,2026-04-13
装置C,Belt,振動,E102,通常,検査,摩耗,Bearing交換・定期給油周期の見直し,装置CのBeltで振動を確認。通常環境下で発生。,2026-01-14
装置B,Sensor,誤動作,E310,高湿度,検査,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。高湿度環境下で発生。,2026-02-14
装置A,Motor,誤動作,E205,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのMotorで誤動作を確認。通常環境下で発生。,2026-01-13
装置C,Bearing,異音,E103,低温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで異音を確認。低温環境下で発生。,2026-02-06
装置D,Motor,振動,E102,高温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのMotorで振動を確認。高温環境下で発生。,2026-06-12
装置A,Bearing,異音,E103,夜間,検査,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで異音を確認。夜間環境下で発生。,2025-10-07
装置C,Belt,振動,E205,高温,検査,センサ故障,センサ交換・配線点検,装置CのBeltで振動を確認。高温環境下で発生。,2026-06-11
装置B,Belt,発熱,E205,通常,組立,摩耗,Bearing交換・定期給油周期の見直し,装置BのBeltで発熱を確認。通常環境下で発生。,2026-02-04
装置C,Valve,漏れ,E101,低温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。低温環境下で発生。,2025-12-15
装置C,Motor,発熱,E102,高温,組立,潤滑不足,給油・グリスアップ実施,装置CのMotorで発熱を確認。高温環境下で発生。,2025-10-17
装置C,Belt,異音,E103,高温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置CのBeltで異音を確認。高温環境下で発生。,2026-06-17
装置A,Sensor,誤動作,E310,通常,搬送,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2025-09-15
装置D,Belt,異音,E102,高湿度,検査,配線不良,配線点検・コネクタ交換,装置DのBeltで異音を確認。高湿度環境下で発生。,2026-01-23
装置B,Belt,異音,E205,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBeltで異音を確認。通常環境下で発生。,2026-03-28
装置B,Belt,漏れ,E103,高湿度,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBeltで漏れを確認。高湿度環境下で発生。,2026-03-01
装置A,Belt,振動,E103,夜間,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBeltで振動を確認。夜間環境下で発生。,2026-06-30
装置A,Valve,漏れ,E101,高温,検査,配線不良,配線点検・コネクタ交換,装置AのValveで漏れを確認。高温環境下で発生。,2026-04-18
装置D,Motor,振動,E310,低温,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのMotorで振動を確認。低温環境下で発生。,2026-07-25
装置C,Belt,発熱,E310,高温,搬送,センサ故障,センサ交換・配線点検,装置CのBeltで発熱を確認。高温環境下で発生。,2025-12-08
装置A,Belt,振動,E101,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのBeltで振動を確認。通常環境下で発生。,2025-09-01
装置C,Belt,漏れ,E205,通常,検査,潤滑不足,給油・グリスアップ実施,装置CのBeltで漏れを確認。通常環境下で発生。,2025-08-13
装置D,Bearing,異音,E101,高温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのBearingで異音を確認。高温環境下で発生。,2025-12-29
装置C,Motor,誤動作,E101,高湿度,組立,異物混入,フィルター清掃・防塵カバー追加,装置CのMotorで誤動作を確認。高湿度環境下で発生。,2026-05-20
装置B,Bearing,異音,E103,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBearingで異音を確認。通常環境下で発生。,2025-08-11
装置D,Bearing,振動,E103,通常,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのBearingで振動を確認。通常環境下で発生。,2026-03-24
装置C,Bearing,異音,E103,通常,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。通常環境下で発生。,2026-05-06
装置B,Motor,振動,E102,高温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置BのMotorで振動を確認。高温環境下で発生。,2026-01-15
装置B,Belt,振動,E310,低温,搬送,センサ故障,センサ交換・配線点検,装置BのBeltで振動を確認。低温環境下で発生。,2026-06-12
装置B,Belt,発熱,E205,夜間,検査,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-27
装置D,Sensor,誤動作,E310,高湿度,搬送,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高湿度環境下で発生。,2025-09-03
装置A,Motor,振動,E101,高温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置AのMotorで振動を確認。高温環境下で発生。,2026-04-04
装置A,Belt,誤動作,E101,高温,梱包,異物混入,フィルター清掃・防塵カバー追加,装置AのBeltで誤動作を確認。高温環境下で発生。,2026-03-14
装置C,Belt,発熱,E102,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBeltで発熱を確認。通常環境下で発生。,2026-04-21
装置A,Valve,漏れ,E101,通常,搬送,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。通常環境下で発生。,2025-10-07
装置A,Belt,発熱,E205,通常,梱包,センサ故障,センサ交換・配線点検,装置AのBeltで発熱を確認。通常環境下で発生。,2025-11-21
装置A,Bearing,異音,E101,低温,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。低温環境下で発生。,2025-12-01
装置B,Belt,発熱,E310,低温,梱包,センサ故障,センサ交換・配線点検,装置BのBeltで発熱を確認。低温環境下で発生。,2026-06-02
装置A,Valve,漏れ,E101,夜間,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。夜間環境下で発生。,2026-05-18
装置B,Sensor,誤動作,E310,通常,梱包,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。通常環境下で発生。,2025-11-22
装置C,Bearing,振動,E101,夜間,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで振動を確認。夜間環境下で発生。,2026-01-30
装置D,Motor,発熱,E101,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのMotorで発熱を確認。通常環境下で発生。,2026-03-03
装置C,Motor,振動,E102,高温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのMotorで振動を確認。高温環境下で発生。,2026-01-11
装置C,Valve,漏れ,E101,夜間,検査,配線不良,配線点検・コネクタ交換,装置CのValveで漏れを確認。夜間環境下で発生。,2026-02-07
装置C,Motor,誤動作,E103,通常,組立,潤滑不足,給油・グリスアップ実施,装置CのMotorで誤動作を確認。通常環境下で発生。,2025-10-30
装置D,Sensor,誤動作,E310,低温,組立,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。低温環境下で発生。,2025-12-13
装置A,Valve,漏れ,E101,高湿度,搬送,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。高湿度環境下で発生。,2026-04-06
装置B,Belt,誤動作,E102,通常,組立,配線不良,配線点検・コネクタ交換,装置BのBeltで誤動作を確認。通常環境下で発生。,2026-07-05
装置A,Belt,漏れ,E205,低温,梱包,潤滑不足,給油・グリスアップ実施,装置AのBeltで漏れを確認。低温環境下で発生。,2026-04-11
装置C,Valve,漏れ,E101,通常,搬送,配線不良,配線点検・コネクタ交換,装置CのValveで漏れを確認。通常環境下で発生。,2025-09-22
装置A,Belt,異音,E103,高湿度,搬送,異物混入,フィルター清掃・防塵カバー追加,装置AのBeltで異音を確認。高湿度環境下で発生。,2025-10-29
装置C,Valve,漏れ,E101,夜間,組立,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。夜間環境下で発生。,2025-09-02
装置B,Bearing,異音,E103,低温,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。低温環境下で発生。,2026-02-08
装置A,Belt,誤動作,E101,夜間,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置AのBeltで誤動作を確認。夜間環境下で発生。,2026-02-24
装置B,Valve,漏れ,E101,通常,搬送,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。通常環境下で発生。,2026-04-29
装置D,Belt,異音,E101,低温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置DのBeltで異音を確認。低温環境下で発生。,2025-10-23
装置B,Bearing,異音,E101,高温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。高温環境下で発生。,2026-06-24
装置B,Belt,誤動作,E205,高温,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBeltで誤動作を確認。高温環境下で発生。,2025-12-31
装置C,Belt,振動,E102,低温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置CのBeltで振動を確認。低温環境下で発生。,2026-03-03
装置C,Bearing,異音,E101,通常,組立,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。通常環境下で発生。,2026-04-25
装置A,Motor,誤動作,E102,低温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置AのMotorで誤動作を確認。低温環境下で発生。,2026-03-16
装置B,Belt,振動,E310,通常,検査,異物混入,フィルター清掃・防塵カバー追加,装置BのBeltで振動を確認。通常環境下で発生。,2026-05-14
装置A,Sensor,誤動作,E103,通常,梱包,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2026-01-21
装置A,Bearing,振動,E101,通常,組立,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで振動を確認。通常環境下で発生。,2026-01-11
装置B,Sensor,誤動作,E205,高湿度,搬送,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-05-30
装置A,Belt,発熱,E102,低温,検査,異物混入,フィルター清掃・防塵カバー追加,装置AのBeltで発熱を確認。低温環境下で発生。,2026-06-09
装置C,Bearing,振動,E101,夜間,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで振動を確認。夜間環境下で発生。,2025-12-27
装置A,Bearing,振動,E101,高温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。高温環境下で発生。,2025-10-28
装置D,Bearing,異音,E103,高温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置DのBearingで異音を確認。高温環境下で発生。,2026-04-05
装置A,Belt,誤動作,E102,夜間,検査,異物混入,フィルター清掃・防塵カバー追加,装置AのBeltで誤動作を確認。夜間環境下で発生。,2026-02-14
装置B,Bearing,異音,E101,高温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。高温環境下で発生。,2025-10-03
装置A,Belt,発熱,E102,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBeltで発熱を確認。通常環境下で発生。,2025-08-01
装置A,Motor,発熱,E103,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのMotorで発熱を確認。通常環境下で発生。,2025-09-03
装置B,Bearing,異音,E103,通常,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。通常環境下で発生。,2026-06-23
装置C,Bearing,異音,E101,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで異音を確認。通常環境下で発生。,2025-11-14
装置A,Belt,振動,E205,通常,梱包,センサ故障,センサ交換・配線点検,装置AのBeltで振動を確認。通常環境下で発生。,2025-08-10
装置D,Motor,異音,E101,通常,検査,摩耗,Bearing交換・定期給油周期の見直し,装置DのMotorで異音を確認。通常環境下で発生。,2025-12-26
装置A,Belt,発熱,E101,高温,組立,潤滑不足,給油・グリスアップ実施,装置AのBeltで発熱を確認。高温環境下で発生。,2025-12-12
装置D,Motor,振動,E102,高温,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置DのMotorで振動を確認。高温環境下で発生。,2025-11-20
装置B,Bearing,異音,E103,高温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。高温環境下で発生。,2025-09-28
装置B,Sensor,誤動作,E103,通常,梱包,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。通常環境下で発生。,2026-01-02
装置D,Valve,漏れ,E101,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置DのValveで漏れを確認。通常環境下で発生。,2026-04-11
装置C,Valve,漏れ,E101,通常,搬送,配線不良,配線点検・コネクタ交換,装置CのValveで漏れを確認。通常環境下で発生。,2025-08-24
装置D,Belt,発熱,E310,高温,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのBeltで発熱を確認。高温環境下で発生。,2026-07-08
装置A,Belt,発熱,E101,高湿度,搬送,センサ故障,センサ交換・配線点検,装置AのBeltで発熱を確認。高湿度環境下で発生。,2026-05-27
装置C,Sensor,誤動作,E103,通常,検査,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。通常環境下で発生。,2026-04-19
装置D,Sensor,誤動作,E310,通常,梱包,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。通常環境下で発生。,2026-02-19
装置D,Bearing,異音,E103,低温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置DのBearingで異音を確認。低温環境下で発生。,2025-12-09
装置B,Belt,誤動作,E205,高湿度,検査,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-27
装置B,Motor,振動,E103,夜間,搬送,潤滑不足,給油・グリスアップ実施,装置BのMotorで振動を確認。夜間環境下で発生。,2025-11-10
装置A,Motor,振動,E102,高温,梱包,潤滑不足,給油・グリスアップ実施,装置AのMotorで振動を確認。高温環境下で発生。,2026-01-14
装置B,Motor,漏れ,E310,通常,組立,配線不良,配線点検・コネクタ交換,装置BのMotorで漏れを確認。通常環境下で発生。,2025-09-08
装置A,Bearing,異音,E103,通常,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。通常環境下で発生。,2025-11-08
装置A,Belt,振動,E310,通常,梱包,潤滑不足,給油・グリスアップ実施,装置AのBeltで振動を確認。通常環境下で発生。,2026-01-24
装置C,Sensor,誤動作,E103,通常,組立,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。通常環境下で発生。,2025-08-11
装置A,Belt,誤動作,E102,高湿度,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBeltで誤動作を確認。高湿度環境下で発生。,2026-05-31
装置B,Belt,誤動作,E205,夜間,搬送,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-05-31
装置C,Sensor,誤動作,E103,高温,検査,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。高温環境下で発生。,2025-09-05
装置A,Bearing,振動,E103,高温,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。高温環境下で発生。,2025-11-02
装置B,Sensor,誤動作,E103,夜間,組立,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。夜間環境下で発生。,2026-02-19
装置C,Sensor,誤動作,E103,通常,組立,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。通常環境下で発生。,2026-05-09
装置D,Belt,誤動作,E103,低温,検査,配線不良,配線点検・コネクタ交換,装置DのBeltで誤動作を確認。低温環境下で発生。,2025-12-02
装置D,Belt,異音,E101,通常,組立,配線不良,配線点検・コネクタ交換,装置DのBeltで異音を確認。通常環境下で発生。,2026-01-14
装置A,Valve,漏れ,E310,高湿度,検査,配線不良,配線点検・コネクタ交換,装置AのValveで漏れを確認。高湿度環境下で発生。,2026-01-14
装置A,Sensor,誤動作,E310,通常,梱包,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2025-11-16
装置A,Sensor,誤動作,E310,低温,搬送,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。低温環境下で発生。,2026-06-04
装置C,Belt,振動,E102,高温,搬送,潤滑不足,給油・グリスアップ実施,装置CのBeltで振動を確認。高温環境下で発生。,2026-07-27
装置D,Valve,漏れ,E101,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置DのValveで漏れを確認。高温環境下で発生。,2025-08-22
装置C,Bearing,異音,E103,高湿度,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで異音を確認。高湿度環境下で発生。,2026-06-18
装置B,Valve,漏れ,E310,高温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。高温環境下で発生。,2025-10-19
装置C,Bearing,異音,E103,低温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。低温環境下で発生。,2026-04-25
装置D,Sensor,誤動作,E310,高温,梱包,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高温環境下で発生。,2025-11-16
装置D,Motor,漏れ,E205,夜間,組立,配線不良,配線点検・コネクタ交換,装置DのMotorで漏れを確認。夜間環境下で発生。,2026-02-18
装置A,Valve,漏れ,E101,高温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。高温環境下で発生。,2025-09-24
装置B,Belt,発熱,E205,高湿度,搬送,異物混入,フィルター清掃・防塵カバー追加,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-13
装置C,Bearing,異音,E103,高湿度,検査,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。高湿度環境下で発生。,2025-09-03
装置C,Valve,漏れ,E101,低温,検査,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。低温環境下で発生。,2026-07-28
装置B,Belt,漏れ,E205,低温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置BのBeltで漏れを確認。低温環境下で発生。,2025-11-25
装置C,Motor,異音,E103,通常,検査,潤滑不足,給油・グリスアップ実施,装置CのMotorで異音を確認。通常環境下で発生。,2026-03-11
装置C,Bearing,異音,E101,通常,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで異音を確認。通常環境下で発生。,2025-11-02
装置D,Belt,振動,E310,高温,組立,潤滑不足,給油・グリスアップ実施,装置DのBeltで振動を確認。高温環境下で発生。,2026-05-22
